,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
2719,14,6,0,1,0,0,0,0,0,0,0,2719,1,169,3
166,2,6,0,0,0,1,0,0,0,0,0,166,1,199,14
6037,13,6,0,0,0,0,0,0,0,0,1,6037,0,46,2
2569,16,6,0,0,1,0,0,0,0,0,0,2569,0,46,2
5452,20,6,0,0,0,0,0,0,0,1,0,5452,1,182,3
1711,15,6,0,1,0,0,0,0,0,0,0,1711,0,177,6
6065,4,6,0,0,1,0,0,0,0,0,0,6065,0,46,2
7524,17,6,0,0,0,0,0,0,1,0,0,7524,0,41,6
4889,16,6,0,0,0,0,0,0,1,0,0,4889,0,177,14
2720,15,6,1,1,0,0,0,0,0,0,0,2720,0,46,2
7168,15,5,0,1,0,0,0,0,0,0,0,7168,0,267,8
3741,20,6,0,0,0,0,0,0,1,0,0,3741,1,46,2
5526,18,6,0,0,1,0,0,0,0,0,0,5526,1,171,3
4023,18,6,0,0,0,0,0,0,1,0,0,4023,0,46,2
292,20,6,0,0,0,0,0,0,1,0,0,292,1,46,2
1244,14,6,0,0,0,0,0,0,1,0,0,1244,1,164,14
7237,10,6,0,1,0,0,0,0,0,0,0,7237,1,200,3
2453,15,6,1,0,0,0,0,0,0,1,0,2453,1,46,2
254,5,6,0,0,0,0,0,1,0,0,0,254,0,190,3
3920,3,6,0,1,0,0,0,0,0,0,0,3920,1,186,3
2676,21,5,0,0,0,0,0,0,0,1,0,2676,0,267,8
6666,19,6,0,0,0,1,0,0,0,0,0,6666,0,46,2
3224,15,6,0,1,0,0,0,0,0,0,0,3224,0,64,3
4024,15,6,0,1,0,0,0,0,0,0,0,4024,0,46,2
4518,13,6,0,0,0,0,0,0,0,1,0,4518,1,119,3
2918,15,6,0,1,0,0,0,0,0,0,0,2918,0,46,2
4885,16,6,0,0,0,0,0,0,0,0,1,4885,0,46,2
6161,10,6,0,1,0,0,0,0,0,0,0,6161,1,137,14
4086,7,6,0,1,0,0,0,0,0,0,0,4086,1,46,2
4875,6,6,0,0,0,1,0,0,0,0,0,4875,1,46,2
1095,21,6,0,0,0,0,0,0,0,1,0,1095,1,111,3
6175,4,6,0,0,1,0,0,0,0,0,0,6175,1,46,3
623,11,6,0,0,0,0,0,0,0,1,0,623,1,46,2
7139,9,6,0,0,0,0,0,0,0,1,0,7139,0,46,2
6547,12,6,0,0,0,0,0,0,1,0,0,6547,1,46,2
7660,15,6,0,1,0,0,0,0,0,0,0,7660,0,46,3
3655,7,6,0,0,0,1,0,0,0,0,0,3655,1,46,2
7763,15,6,0,1,0,0,0,0,0,0,0,7763,0,87,6
1906,15,6,0,1,0,0,0,0,0,0,0,1906,0,31,6
3441,11,6,0,0,0,1,0,0,0,0,0,3441,1,46,3
7458,12,6,0,0,0,0,0,0,0,1,0,7458,1,46,2
6515,23,6,0,0,0,0,0,0,0,1,0,6515,0,46,2
4054,9,6,0,0,0,0,0,0,0,1,0,4054,0,127,3
5386,16,6,0,0,0,0,0,0,1,0,0,5386,1,46,2
6544,18,6,0,0,0,0,0,1,0,0,0,6544,1,46,2
7914,4,6,0,0,0,0,1,0,0,0,0,7914,1,164,14
4073,1,6,0,0,0,0,0,0,0,1,0,4073,0,46,2
274,15,6,0,1,0,0,0,0,0,0,0,274,0,46,3
4869,20,6,0,0,0,0,0,0,1,0,0,4869,1,46,2
7019,10,6,0,0,0,0,0,0,1,0,0,7019,0,46,2
3163,8,6,0,0,1,0,0,0,0,0,0,3163,0,171,6
2596,4,6,0,0,1,0,0,0,0,0,0,2596,1,46,2
1759,11,6,0,1,0,0,0,0,0,0,0,1759,1,46,2
735,10,5,0,0,0,0,1,0,0,0,0,735,0,267,8
2243,7,6,0,0,0,0,0,0,0,0,1,2243,1,46,2
3429,5,6,0,0,0,0,0,0,0,0,1,3429,0,92,6
5204,22,6,0,0,0,0,0,0,1,0,0,5204,0,46,6
3285,15,6,0,1,0,0,0,0,0,0,0,3285,0,216,14
5073,15,6,0,1,0,0,0,0,0,0,0,5073,0,46,2
3056,11,6,1,0,0,1,0,0,0,0,0,3056,1,122,14
3921,5,5,0,0,0,0,0,1,0,0,0,3921,0,267,8
5154,15,6,0,1,0,0,0,0,0,0,0,5154,0,46,2
5354,15,6,1,1,0,0,0,0,0,0,0,5354,0,46,2
1819,16,6,0,0,0,0,0,0,1,0,0,1819,0,46,2
49,23,6,0,0,0,0,0,0,0,1,0,49,1,46,3
2436,14,6,0,0,0,0,0,0,1,0,0,2436,1,46,2
1709,13,6,1,0,0,0,0,0,0,1,0,1709,1,46,6
3755,22,6,0,0,1,0,0,0,0,0,0,3755,0,46,2
3778,15,6,0,0,0,0,0,0,0,1,0,3778,1,177,14
2192,4,6,0,0,0,0,1,0,0,0,0,2192,0,46,2
770,7,6,0,0,0,1,0,0,0,0,0,770,1,46,2
5755,3,6,0,0,1,0,0,0,0,0,0,5755,1,10,3
4047,21,6,0,0,0,0,0,0,1,0,0,4047,1,46,2
6970,8,6,0,0,0,0,0,1,0,0,0,6970,0,46,2
4597,15,6,0,1,0,0,0,0,0,0,0,4597,0,114,6
3237,12,6,1,1,0,0,0,0,0,0,0,3237,1,46,2
305,21,6,0,0,0,1,0,0,0,0,0,305,1,46,2
6978,17,6,0,0,0,0,0,0,0,0,1,6978,1,46,2
3418,4,6,0,0,1,0,0,0,0,0,0,3418,0,46,2
6032,20,6,0,0,0,0,0,0,0,1,0,6032,0,46,2
2582,15,6,0,0,0,0,0,0,0,0,1,2582,1,182,14
2727,14,6,0,0,0,0,0,0,1,0,0,2727,0,46,2
